logging output to logs\2024-06-25_23-28-06.log

================================================================================
Switch 2.0.7, https://switch-model.org
================================================================================
Arguments:
    log_run_to_file=True, logs_dir='logs', log_level='debug',
    inputs_dir='inputs', suffixes=['dual'], solver='cplex',
    solver_manager='serial', solver_options_string='lpmethod=4 solutiontype=2',
    tee=True, outputs_dir='outputs', no_save_solution=True, verbose=True

Modules:
    switch_model, switch_model.timescales, switch_model.financials,
    switch_model.balancing.load_zones, switch_model.energy_sources.properties,
    switch_model.generators.core.build, switch_model.generators.core.dispatch,
    switch_model.reporting, switch_model.generators.core.no_commit,
    switch_model.generators.extensions.hydro_simple,
    switch_model.generators.extensions.storage,
    switch_model.energy_sources.fuel_costs.simple,
    switch_model.policies.carbon_policies, switch_model.solve
================================================================================

Model defined in 0.10 s.

Loading inputs...
Data read in 0.83 s.

Constructing model instance from data and rules...
           0 seconds to construct Set PERIODS; 1 index total
           0 seconds to construct Param gen_uses_fuel; 649 indices total
           0 seconds to construct Set NON_FUEL_BASED_GENS; 1 index total
           0 seconds to construct Set FUEL_BASED_GENS; 1 index total
Constructed 84 of 209 components (40%)
           0 seconds to construct Param gen_full_load_heat_rate; 97 indices total
           0 seconds to construct Set MULTIFUEL_GENS; 1 index total
           0 seconds to construct Set MULTI_FUEL_GEN_FUELS; 1 index total
           0 seconds to construct Set FUELS_FOR_MULTIFUEL_GEN; 0 index total
           0 seconds to construct Set FUELS_FOR_GEN; 97 indices total
           0 seconds to construct Set GENS_BY_ENERGY_SOURCE; 21 indices total
           0 seconds to construct Set GENS_BY_NON_FUEL_ENERGY_SOURCE; 7 indices total
           0 seconds to construct Set GENS_BY_FUEL; 14 indices total
           0 seconds to construct Set PREDETERMINED_GEN_BLD_YRS; 1 index total
        0.01 seconds to construct Set GEN_BLD_YRS; 1 index total
           0 seconds to construct Set SetDifference_OrderedSet; 1 index total
           0 seconds to construct Set SetDifference_OrderedSet; 1 index total
           0 seconds to construct Set NEW_GEN_BLD_YRS; 1 index total
           0 seconds to construct Param build_gen_predetermined; 501 indices total
           0 seconds to construct BuildCheck min_data_check_8; 1 index total
        0.01 seconds to construct Set PERIODS_FOR_GEN_BLD_YR; 501 indices total
           0 seconds to construct Set BLD_YRS_FOR_GEN_PERIOD_index; 1 index total
           0 seconds to construct Set BLD_YRS_FOR_GEN_PERIOD_index; 1 index total
        0.04 seconds to construct Set BLD_YRS_FOR_GEN_PERIOD; 649 indices total
        0.01 seconds to construct Set PERIODS_FOR_GEN; 649 indices total
           0 seconds to construct Var BuildGen; 501 indices total
           0 seconds to construct BuildAction BuildGen_assign_default_value; 501 indices total
           0 seconds to construct Set GEN_PERIODS; 1 index total
           0 seconds to construct Set GenCapacity_index; 1 index total
           0 seconds to construct Set GenCapacity_index; 1 index total
Constructed 105 of 209 components (50%)
        0.01 seconds to construct Expression GenCapacity; 649 indices total
           0 seconds to construct Set Max_Build_Potential_index; 1 index total
           0 seconds to construct Set Max_Build_Potential_index; 1 index total
           0 seconds to construct Constraint Max_Build_Potential; 37 indices total
           0 seconds to construct Param gen_min_build_capacity; 649 indices total
           0 seconds to construct Set NEW_GEN_WITH_MIN_BUILD_YEARS; 1 index total
           0 seconds to construct Var BuildMinGenCap; 0 index total
           0 seconds to construct Constraint Enforce_Min_Build_Lower; 0 index total
           0 seconds to construct Constraint Enforce_Min_Build_Upper; 0 index total
           0 seconds to construct Param gen_variable_om; 649 indices total
           0 seconds to construct Param gen_connect_cost_per_mw; 649 indices total
           0 seconds to construct BuildCheck min_data_check_9; 1 index total
           0 seconds to construct Param gen_overnight_cost; 501 indices total
           0 seconds to construct Param gen_fixed_om; 501 indices total
           0 seconds to construct BuildCheck min_data_check_10; 1 index total
        0.01 seconds to construct Param gen_capital_cost_annual; 501 indices total
           0 seconds to construct Set GenCapitalCosts_index; 1 index total
           0 seconds to construct Set GenCapitalCosts_index; 1 index total
        0.01 seconds to construct Expression GenCapitalCosts; 649 indices total
           0 seconds to construct Set GenFixedOMCosts_index; 1 index total
           0 seconds to construct Set GenFixedOMCosts_index; 1 index total
        0.01 seconds to construct Expression GenFixedOMCosts; 649 indices total
           0 seconds to construct Expression TotalGenFixedCosts; 1 index total
           0 seconds to construct Set GENS_IN_PERIOD; 1 index total
Constructed 126 of 209 components (60%)
        0.38 seconds to construct Set TPS_FOR_GEN; 649 indices total
           0 seconds to construct Set TPS_FOR_GEN_IN_PERIOD_index; 1 index total
           0 seconds to construct Set TPS_FOR_GEN_IN_PERIOD_index; 1 index total
        0.53 seconds to construct Set TPS_FOR_GEN_IN_PERIOD; 649 indices total
        0.56 seconds to construct Set GEN_TPS; 1 index total
        0.22 seconds to construct Set VARIABLE_GEN_TPS; 1 index total
        0.10 seconds to construct Set FUEL_BASED_GEN_TPS; 1 index total
        0.13 seconds to construct Set GEN_TP_FUELS; 1 index total
        0.52 seconds to construct Expression GenCapacityInTP; 93504 indices total
        0.13 seconds to construct Var DispatchGen; 93504 indices total
           0 seconds to construct Set ZoneTotalCentralDispatch_index; 1 index total
           0 seconds to construct Set ZoneTotalCentralDispatch_index; 1 index total
        1.29 seconds to construct Expression ZoneTotalCentralDispatch; 960 indices total
           0 seconds to construct Set ZoneTotalDistributedDispatch_index; 1 index total
           0 seconds to construct Set ZoneTotalDistributedDispatch_index; 1 index total
        0.55 seconds to construct Expression ZoneTotalDistributedDispatch; 960 indices total
           0 seconds to construct Param gen_availability; 649 indices total
           0 seconds to construct Set VARIABLE_GEN_TPS_RAW_domain; 1 index total
           0 seconds to construct Set VARIABLE_GEN_TPS_RAW_domain; 1 index total
        0.40 seconds to construct Set VARIABLE_GEN_TPS_RAW; 1 index total
        0.24 seconds to construct Param gen_max_capacity_factor; 37056 indices total
        0.11 seconds to construct BuildCheck have_minimal_gen_max_capacity_factors; 37056 indices total
           0 seconds to construct Set SetDifference_OrderedSet; 1 index total
           0 seconds to construct Set SetDifference_OrderedSet; 1 index total
        0.07 seconds to construct BuildAction notify_on_extra_VARIABLE_GEN_TPS; 1 index total
        0.02 seconds to construct Var GenFuelUseRate; 18624 indices total
        0.24 seconds to construct Expression DispatchEmissions; 18624 indices total
Constructed 147 of 209 components (70%)
        0.10 seconds to construct Expression AnnualEmissions; 1 index total
        0.49 seconds to construct Expression GenVariableOMCostsInTP; 192 indices total
           0 seconds to construct Set BASELOAD_GEN_PERIODS; 1 index total
           0 seconds to construct Set BASELOAD_GEN_TPS; 1 index total
           0 seconds to construct Var DispatchBaseloadByPeriod; 0 index total
        0.80 seconds to construct Expression DispatchUpperLimit; 93504 indices total
           0 seconds to construct Constraint Enforce_Dispatch_Baseload_Flat; 0 index total
        1.25 seconds to construct Constraint Enforce_Dispatch_Upper_Limit; 93504 indices total
        0.37 seconds to construct Constraint GenFuelUseRate_Calculate; 18624 indices total
           0 seconds to construct Set HYDRO_GEN_TS_RAW; 1 index total
           0 seconds to construct Set HYDRO_GENS; 1 index total
           0 seconds to construct Set HYDRO_GEN_TS; 1 index total
        0.17 seconds to construct Set HYDRO_GEN_TPS; 1 index total
           0 seconds to construct BuildCheck have_minimal_hydro_params; 0 index total
           0 seconds to construct Set SetDifference_OrderedSet; 1 index total
           0 seconds to construct Set SetDifference_OrderedSet; 1 index total
           0 seconds to construct BuildCheck warn_on_extra_HYDRO_GEN_TS; 1 index total
           0 seconds to construct Param hydro_min_flow_mw; 0 index total
           0 seconds to construct Constraint Enforce_Hydro_Min_Flow; 0 index total
           0 seconds to construct Param hydro_avg_flow_mw; 0 index total
           0 seconds to construct Var SpillHydro; 0 index total
           0 seconds to construct Constraint Enforce_Hydro_Avg_Flow; 0 index total
           0 seconds to construct BuildCheck min_data_check_11; 1 index total
Constructed 168 of 209 components (80%)
           0 seconds to construct Set STORAGE_GENS; 1 index total
           0 seconds to construct Set STORAGE_GEN_PERIODS; 1 index total
           0 seconds to construct Param gen_storage_efficiency; 5 indices total
           0 seconds to construct Param gen_store_to_release_ratio; 5 indices total
           0 seconds to construct Param gen_storage_energy_to_power_ratio; 5 indices total
           0 seconds to construct Param gen_storage_max_cycles_per_year; 5 indices total
           0 seconds to construct Set STORAGE_GEN_BLD_YRS; 1 index total
           0 seconds to construct Param gen_storage_energy_overnight_cost; 0 index total
           0 seconds to construct BuildCheck min_data_check_12; 1 index total
           0 seconds to construct Param build_gen_energy_predetermined; 501 indices total
           0 seconds to construct Var BuildStorageEnergy; 0 index total
           0 seconds to construct Set StorageEnergyCapitalCost_index; 1 index total
           0 seconds to construct Set StorageEnergyCapitalCost_index; 1 index total
           0 seconds to construct Expression StorageEnergyCapitalCost; 5 indices total
           0 seconds to construct Expression StorageEnergyFixedCost; 1 index total
           0 seconds to construct Set StorageEnergyCapacity_index; 1 index total
           0 seconds to construct Set StorageEnergyCapacity_index; 1 index total
           0 seconds to construct Expression StorageEnergyCapacity; 5 indices total
           0 seconds to construct Set STORAGE_GEN_TPS; 1 index total
           0 seconds to construct Var ChargeStorage; 0 index total
           0 seconds to construct Set StorageNetCharge_index; 1 index total
           0 seconds to construct Set StorageNetCharge_index; 1 index total
           0 seconds to construct Expression StorageNetCharge; 960 indices total
           0 seconds to construct Constraint Enforce_Fixed_Energy_Storage_Ratio; 0 index total
Constructed 189 of 209 components (90%)
           0 seconds to construct Constraint Charge_Storage_Upper_Limit; 0 index total
           0 seconds to construct Var StateOfCharge; 0 index total
           0 seconds to construct Constraint Track_State_Of_Charge; 0 index total
           0 seconds to construct Constraint State_Of_Charge_Upper_Limit; 0 index total
           0 seconds to construct Constraint Battery_Cycle_Limit; 0 index total
           0 seconds to construct Set ZONE_FUEL_PERIODS; 1 index total
           0 seconds to construct Param fuel_cost; 45 indices total
           0 seconds to construct BuildCheck min_data_check_13; 1 index total
        0.14 seconds to construct Set GEN_TP_FUELS_UNAVAILABLE; 1 index total
        0.06 seconds to construct Constraint Enforce_Fuel_Unavailability; 8832 indices total
        0.11 seconds to construct Expression FuelCostsPerTP; 192 indices total
           0 seconds to construct Param carbon_cap_tco2_per_yr; 1 index total
           0 seconds to construct Constraint Enforce_Carbon_Cap; 1 index total
           0 seconds to construct Param carbon_cost_dollar_per_tco2; 1 index total
           0 seconds to construct Expression EmissionsCosts; 1 index total
           0 seconds to construct Expression SystemCostPerPeriod; 1 index total
           0 seconds to construct Expression SystemCost; 1 index total
           0 seconds to construct Objective Minimize_System_Cost; 1 index total
        0.02 seconds to construct Constraint Zone_Energy_Balance; 960 indices total
Constructed 209 of 209 components (100%)
Model instance constructed in 9.49 s.

Executing pre-solve functions...
Completed pre-solve processing in 10.34 s.

Solving model...
--------------------------------- solver output --------------------------------

Welcome to IBM(R) ILOG(R) CPLEX(R) Interactive Optimizer 22.1.1.0
  with Simplex, Mixed Integer & Barrier Optimizers
5725-A06 5725-A29 5724-Y48 5724-Y49 5724-Y54 5724-Y55 5655-Y21
Copyright IBM Corp. 1988, 2022.  All Rights Reserved.

Type 'help' for a list of available commands.
Type 'help' followed by a command name for more
information on commands.

CPLEX> Logfile 'cplex.log' closed.
Logfile 'C:\Users\juanj\AppData\Local\Temp\tmpak093v9u.cplex.log' open.
CPLEX> New value for method for linear optimization: 4
CPLEX> New value for solution information CPLEX will attempt to compute: 2
CPLEX> Problem 'C:\Users\juanj\AppData\Local\Temp\tmpo58d_iv0.pyomo.lp' read.
Read time = 0.30 sec. (12.91 ticks)
CPLEX> Problem name         : C:\Users\juanj\AppData\Local\Temp\tmpo58d_iv0.pyomo.lp
Objective sense      : Minimize
Variables            :  112616  [Nneg: 112129,  Fix: 487]
Objective nonzeros   :  102247
Linear constraints   :  121959  [Less: 93542,  Equal: 28417]
  Nonzeros           :  330056
  RHS nonzeros       :     988

Variables            : Min LB: 0.000000         Max UB: 1250.000       
Objective nonzeros   : Min   : 11.32875         Max   : 366302.8       
Linear constraints   :
  Nonzeros           : Min   : 1.272035e-06     Max   : 15.71480       
  RHS nonzeros       : Min   : 1.000000         Max   : 1.000000e+14   
CPLEX> Version identifier: 22.1.1.0 | 2022-11-27 | 9160aff4d
CPXPARAM_LPMethod                                4
CPXPARAM_SolutionType                            2
Tried aggregator 1 time.
LP Presolve eliminated 121575 rows and 105295 columns.
Reduced LP has 384 rows, 7321 columns, and 7321 nonzeros.
Presolve time = 0.17 sec. (74.86 ticks)
Parallel mode: using up to 4 threads for barrier.
Number of nonzeros in lower triangle of A*A' = 0
Using Approximate Minimum Degree ordering
Total time for automatic ordering = 0.00 sec. (0.06 ticks)
Summary statistics for Cholesky factor:
  Threads                   = 4
  Rows in Factor            = 384
  Integer space required    = 384
  Total non-zeros in factor = 384
  Total FP ops to factor    = 384
 Itn      Primal Obj        Dual Obj  Prim Inf Upper Inf  Dual Inf Inf Ratio
   0   8.8154255e+09   5.9288572e+09  7.48e+02  2.42e+05  1.90e+02  1.00e+00
   1   8.7389627e+09   5.8858591e+09  7.39e+02  2.39e+05  1.88e+02  1.14e-03
   2   8.5959952e+09   5.8440726e+09  7.13e+02  2.31e+05  1.81e+02  5.84e-04
   3   8.5268483e+09   5.8363812e+09  6.98e+02  2.26e+05  1.78e+02  5.23e-04
   4   8.4130705e+09   5.8272195e+09  6.77e+02  2.19e+05  1.77e+02  4.08e-04
   5   8.3473525e+09   5.8213587e+09  6.61e+02  2.14e+05  1.73e+02  2.57e-04
   6   8.1901736e+09   5.8098040e+09  6.23e+02  2.02e+05  1.63e+02  1.38e-04
   7   8.0889810e+09   5.8427052e+09  5.95e+02  1.92e+05  1.32e+02  6.03e-05
   8   7.9883404e+09   5.9135590e+09  5.64e+02  1.82e+05  1.03e+02  4.18e-05
   9   7.8389216e+09   6.0210187e+09  5.14e+02  1.66e+05  7.42e+01  3.42e-05
  10   7.6584657e+09   6.0467296e+09  4.49e+02  1.45e+05  6.94e+01  3.37e-05
  11   7.5365418e+09   6.1937947e+09  4.01e+02  1.30e+05  4.75e+01  3.37e-05
  12   7.3928955e+09   6.2983722e+09  3.43e+02  1.11e+05  3.29e+01  3.62e-05
  13   7.1980914e+09   6.3827867e+09  2.62e+02  8.48e+04  2.27e+01  4.08e-05
  14   6.9924694e+09   6.4596272e+09  1.66e+02  5.37e+04  1.58e+01  4.91e-05
  15   6.8379757e+09   6.5352151e+09  8.39e+01  2.71e+04  1.04e+01  6.49e-05
  16   6.7728063e+09   6.5721146e+09  4.18e+01  1.35e+04  8.18e+00  7.99e-05
  17   6.7417693e+09   6.6132954e+09  1.93e+01  6.23e+03  5.82e+00  1.11e-04
  18   6.7257613e+09   6.6612498e+09  6.67e+00  2.16e+03  3.14e+00  2.07e-04
  19   6.7169902e+09   6.6908328e+09  1.66e+00  5.38e+02  1.38e+00  4.87e-04
  20   6.7130341e+09   6.7064983e+09  4.16e-01  1.35e+02  3.45e-01  2.23e-03
  21   6.7108876e+09   6.7091558e+09  1.08e-01  3.51e+01  9.26e-02  8.31e-03
  22   6.7103037e+09   6.7098434e+09  2.52e-02  8.15e+00  2.70e-02  2.86e-02
  23   6.7101465e+09   6.7100869e+09  3.01e-03  9.74e-01  3.67e-03  2.16e-01
  24   6.7101280e+09   6.7101178e+09  5.32e-04  1.72e-01  6.13e-04  1.32e+00
  25   6.7101239e+09   6.7101231e+09  8.76e-06  2.83e-03  7.35e-05  1.12e+01
  26   6.7101238e+09   6.7101238e+09  1.24e-07  4.00e-05  1.05e-06  1.32e+03
Barrier time = 0.25 sec. (120.43 ticks)

Total time on 4 threads = 0.25 sec. (120.43 ticks)

Barrier - Optimal:  Objective =  6.7101237785e+09
Solution time =    0.25 sec.  Iterations = 26
Deterministic time = 120.43 ticks  (481.72 ticks/sec)

CPLEX> Solution written to file 'C:\Users\juanj\AppData\Local\Temp\tmpa2_6wkur.cplex.sol'.
CPLEX> ---------------------------- end of solver output ----------------------------

Solved model. Total time spent in solver: 19.39 s.

Optimization termination condition was optimal.

Executing post-solve functions...
Completed post-solve processing in 15.22 s.

Switch completed successfully in 45.05 s.
================================================================================

